seed_percent,replication,num_seeds,expand_window,reached_in_window,reached_proportion
0.05,15,174,3,921,0.18295589988081049
0.05,15,174,5,1051,0.2087802940007946
0.05,15,174,9,1072,0.2129519268970997
0.05,15,174,15,1089,0.2163289630512515
0.05,15,174,25,1089,0.2163289630512515
0.05,16,249,0,665,0.13210170838299562
0.05,16,249,1,909,0.18057210965435042
0.05,16,249,2,1001,0.19884783472387763
0.05,16,249,3,1046,0.2077870480731029
0.05,16,249,5,1127,0.22387763210170838
0.05,16,249,9,1166,0.2316249503377036
0.05,16,249,15,1172,0.23281684545093365
0.05,16,249,25,1172,0.23281684545093365
0.05,17,234,0,873,0.1734207389749702
0.05,17,234,1,1103,0.21911005164878825
0.05,17,234,2,1215,0.24135876042908225
0.05,17,234,3,1281,0.25446960667461266
0.05,17,234,5,1352,0.2685736988478347
0.05,17,234,9,1384,0.2749304727850616
0.05,17,234,15,1393,0.27671831545490666
0.05,17,234,25,1395,0.2771156138259833
0.05,18,212,0,723,0.1436233611442193
0.05,18,212,1,869,0.17262614223281686
0.05,18,212,2,914,0.18156535558204212
0.05,18,212,3,943,0.18732618196265396
0.05,18,212,5,969,0.19249106078665076
0.05,18,212,9,977,0.1940802542709575
0.05,18,212,15,979,0.19447755264203417
0.05,18,212,25,980,0.1946762018275725
0.05,19,193,0,627,0.12455303933253874
0.05,19,193,1,793,0.15752880413190307
0.05,19,193,2,856,0.17004370282081843
0.05,19,193,3,942,0.1871275327771156
0.05,19,193,5,988,0.19626539531187923
0.05,19,193,9,1073,0.21315057608263807
0.05,19,193,15,1116,0.22169249106078665
0.05,19,193,25,1118,0.22208978943186333
0.05,20,298,0,883,0.1754072308303536
0.05,20,298,1,1187,0.23579658323400873
0.05,20,298,2,1299,0.25804529201430276
0.05,20,298,3,1367,0.2715534366309098
0.05,20,298,5,1439,0.2858561779896702
0.05,20,298,9,1472,0.2924116011124354
0.05,20,298,15,1488,0.29558998808104886
0.05,20,298,25,1488,0.29558998808104886
0.05,21,202,0,658,0.13071116408422725
0.05,21,202,1,836,0.16607071911005164
0.05,21,202,2,900,0.17878426698450536
0.05,21,202,3,977,0.1940802542709575
0.05,21,202,5,1074,0.2133492252681764
0.05,21,202,9,1101,0.21871275327771156
0.05,21,202,15,1119,0.22228843861740166
0.05,21,202,25,1119,0.22228843861740166
0.05,22,133,0,605,0.12018275725069527
0.05,22,133,1,857,0.17024235200635676
0.05,22,133,2,971,0.19288835915772745
0.05,22,133,3,1026,0.20381406436233612
0.05,22,133,5,1105,0.2195073500198649
0.05,22,133,9,1141,0.22665872069924514
0.05,22,133,15,1144,0.22725466825586016
0.05,22,133,25,1144,0.22725466825586016
0.05,23,189,0,528,0.10488676996424315
0.05,23,189,1,706,0.14024632499006753
0.05,23,189,2,785,0.15593961064759634
0.05,23,189,3,851,0.16905045689312673
0.05,23,189,5,994,0.19745729042510926
0.05,23,189,9,1052,0.20897894318633295
0.05,23,189,15,1055,0.20957489074294797
0.05,23,189,25,1057,0.20997218911402463
0.05,24,292,0,829,0.16468017481128328
0.05,24,292,1,1107,0.2199046483909416
0.05,24,292,2,1177,0.23381009137862535
0.05,24,292,3,1236,0.24553039332538737
0.05,24,292,5,1340,0.26618990862137465
0.05,24,292,9,1371,0.2723480333730632
0.05,24,292,15,1379,0.2739372268573699
0.05,24,292,25,1382,0.2745331744139849
0.05,25,238,0,726,0.14421930870083433
0.05,25,238,1,873,0.1734207389749702
0.05,25,238,2,954,0.18951132300357568
0.05,25,238,3,1013,0.2012316249503377
0.05,25,238,5,1054,0.2093762415574096
0.05,25,238,9,1068,0.21215733015494637
0.05,25,238,15,1069,0.2123559793404847
0.05,25,238,25,1069,0.2123559793404847
0.05,26,213,0,715,0.14203416765991259
0.05,26,213,1,981,0.19487485101311083
0.05,26,213,2,1096,0.21771950735001985
0.05,26,213,3,1166,0.2316249503377036
0.05,26,213,5,1215,0.24135876042908225
0.05,26,213,9,1239,0.2461263408820024
0.05,26,213,15,1244,0.2471195868096941
0.05,26,213,25,1245,0.24731823599523242
0.05,27,216,0,608,0.12077870480731029
0.05,27,216,1,792,0.1573301549463647
0.05,27,216,2,882,0.17520858164481526
0.05,27,216,3,959,0.19050456893126738
0.05,27,216,5,1092,0.2169249106078665
0.05,27,216,9,1152,0.22884386174016685
0.05,27,216,15,1156,0.22963845848232023
0.05,27,216,25,1156,0.22963845848232023
0.05,28,203,0,645,0.12812872467222886
0.05,28,203,1,855,0.1698450536352801
0.05,28,203,2,969,0.19249106078665076
0.05,28,203,3,1052,0.20897894318633295
0.05,28,203,5,1171,0.23261819626539532
0.05,28,203,9,1215,0.24135876042908225
0.05,28,203,15,1217,0.2417560588001589
0.05,28,203,25,1217,0.2417560588001589
0.05,29,156,0,587,0.11660707191100517
0.05,29,156,1,800,0.15891934843067143
0.05,29,156,2,894,0.17759237187127533
0.05,29,156,3,946,0.18792212951926898
0.05,29,156,5,1006,0.19984108065156933
0.05,29,156,9,1034,0.20540325784664282
0.05,29,156,15,1036,0.2058005562177195
0.05,29,156,25,1038,0.2061978545887962
0.05,30,170,0,573,0.11382598331346841
0.05,30,170,1,809,0.16070719110051648
0.05,30,170,2,939,0.1865315852205006
0.05,30,170,3,1024,0.20341676599125944
0.05,30,170,5,1142,0.22685736988478347
0.05,30,170,9,1196,0.23758442590385379
0.05,30,170,15,1220,0.24235200635677392
0.05,30,170,25,1222,0.2427493047278506
0.05,31,189,0,546,0.10846245530393325
0.05,31,189,1,811,0.16110448947159317
0.05,31,189,2,907,0.18017481128327373
0.05,31,189,3,953,0.18931267381803735
0.05,31,189,5,979,0.19447755264203417
0.05,31,189,9,989,0.19646404449741756
0.05,31,189,15,992,0.19705999205403257
0.05,31,189,25,992,0.19705999205403257
0.05,32,203,0,732,0.14541120381406436
0.05,32,203,1,978,0.19427890345649582
0.05,32,203,2,1042,0.20699245133094954
0.05,32,203,3,1081,0.21473976956694477
0.05,32,203,5,1114,0.22129519268970999
0.05,32,203,9,1132,0.2248708780294001
0.05,32,203,15,1133,0.22506952721493842
0.05,32,203,25,1133,0.22506952721493842
0.05,33,460,0,1122,0.22288438617401668
0.05,33,460,1,1384,0.2749304727850616
0.05,33,460,2,1470,0.29201430274135876
0.05,33,460,3,1537,0.3053237981724275
0.05,33,460,5,1664,0.3305522447357966
0.05,33,460,9,1708,0.3392928088994835
0.05,33,460,15,1731,0.3438617401668653
0.05,33,460,25,1737,0.34505363528009536
0.05,34,188,0,756,0.1501787842669845
0.05,34,188,1,968,0.19229241160111243
0.05,34,188,2,1005,0.199642431466031
0.05,34,188,3,1055,0.20957489074294797
0.05,34,188,5,1081,0.21473976956694477
0.05,34,188,9,1089,0.2163289630512515
0.05,34,188,15,1095,0.21752085816448152
0.05,34,188,25,1095,0.21752085816448152
0.05,35,136,0,462,0.09177592371871275
0.05,35,136,1,715,0.14203416765991259
0.05,35,136,2,822,0.1632896305125149
0.05,35,136,3,894,0.17759237187127533
0.05,35,136,5,1034,0.20540325784664282
0.05,35,136,9,1130,0.2244735796583234
0.05,35,136,15,1172,0.23281684545093365
0.05,35,136,25,1191,0.2365911799761621
0.05,36,275,0,878,0.1744139849026619
0.05,36,275,1,1119,0.22228843861740166
0.05,36,275,2,1188,0.2359952324195471
0.05,36,275,3,1212,0.24076281287246723
0.05,36,275,5,1257,0.2497020262216925
0.05,36,275,9,1293,0.25685339690107273
0.05,36,275,15,1306,0.2594358363130711
0.05,36,275,25,1307,0.25963448549860946
0.05,37,490,0,979,0.19447755264203417
0.05,37,490,1,1238,0.24592769169646406
0.05,37,490,2,1370,0.2721493841875248
0.05,37,490,3,1465,0.2910210568136671
0.05,37,490,5,1573,0.3124751688518077
0.05,37,490,9,1679,0.3335319825188717
0.05,37,490,15,1708,0.3392928088994835
0.05,37,490,25,1709,0.33949145808502185
0.05,38,180,0,597,0.11859356376638856
0.05,38,180,1,787,0.15633690901867303
0.05,38,180,2,865,0.17183154549066348
0.05,38,180,3,907,0.18017481128327373
0.05,38,180,5,965,0.19169646404449742
0.05,38,180,9,982,0.1950735001986492
0.05,38,180,15,989,0.19646404449741756
0.05,38,180,25,997,0.19805323798172428
0.05,39,165,0,630,0.12514898688915377
0.05,39,165,1,833,0.16547477155343662
0.05,39,165,2,948,0.18831942789034564
0.05,39,165,3,994,0.19745729042510926
0.05,39,165,5,1046,0.2077870480731029
0.05,39,165,9,1071,0.21275327771156138
0.05,39,165,15,1097,0.2179181565355582
0.05,39,165,25,1099,0.21831545490663487
0.05,40,186,0,620,0.12316249503377036
0.05,40,186,1,830,0.1648788239968216
0.05,40,186,2,917,0.18216130313865714
0.05,40,186,3,983,0.19527214938418752
0.05,40,186,5,1090,0.21652761223678982
0.05,40,186,9,1128,0.22407628128724671
0.05,40,186,15,1137,0.22586412395709177
0.05,40,186,25,1156,0.22963845848232023
0.05,41,206,0,718,0.1426301152165276
0.05,41,206,1,968,0.19229241160111243
0.05,41,206,2,1082,0.21493841875248312
0.05,41,206,3,1160,0.23043305522447358
0.05,41,206,5,1209,0.2401668653158522
0.05,41,206,9,1251,0.24851013110846246
0.05,41,206,15,1258,0.24990067540723082
0.05,41,206,25,1260,0.25029797377830754
0.05,42,204,0,720,0.1430274135876043
0.05,42,204,1,962,0.1911005164878824
