seed_percent,replication,num_seeds_used,num_seeds_found,expand_window,reached_in_window,reached_proportion
0.05,8,582,19,1,81,0.0160650535501785
0.05,8,582,19,2,84,0.016660055533518445
0.05,8,582,19,3,94,0.018643395477984926
0.05,8,582,19,5,97,0.01923839746132487
0.05,8,582,19,9,101,0.020031733439111465
0.05,8,582,19,15,101,0.020031733439111465
0.05,8,582,19,25,101,0.020031733439111465
0.05,9,582,28,0,262,0.05196350654502182
0.05,9,582,28,1,353,0.0700119000396668
0.05,9,582,28,2,385,0.07635858786195954
0.05,9,582,28,3,395,0.07834192780642601
0.05,9,582,28,5,426,0.08449028163427211
0.05,9,582,28,9,426,0.08449028163427211
0.05,9,582,28,15,426,0.08449028163427211
0.05,9,582,28,25,426,0.08449028163427211
0.05,10,582,26,0,78,0.015470051566838556
0.05,10,582,26,1,101,0.020031733439111465
0.05,10,582,26,2,106,0.021023403411344704
0.05,10,582,26,3,114,0.02261007536691789
0.05,10,582,26,5,115,0.022808409361364537
0.05,10,582,26,9,120,0.02380007933359778
0.05,10,582,26,15,120,0.02380007933359778
0.05,10,582,26,25,120,0.02380007933359778
0.05,11,582,22,0,60,0.01190003966679889
0.05,11,582,22,1,77,0.015271717572391909
0.05,11,582,22,2,83,0.016461721539071796
0.05,11,582,22,3,93,0.018445061483538278
0.05,11,582,22,5,102,0.02023006743355811
0.05,11,582,22,9,102,0.02023006743355811
0.05,11,582,22,15,102,0.02023006743355811
0.05,11,582,22,25,102,0.02023006743355811
0.05,12,582,7,0,43,0.00852836176120587
0.05,12,582,7,1,65,0.01289170963903213
0.05,12,582,7,2,75,0.014875049583498612
0.05,12,582,7,3,91,0.01804839349464498
0.05,12,582,7,5,148,0.029353431178103927
0.05,12,582,7,9,149,0.029551765172550575
0.05,12,582,7,15,149,0.029551765172550575
0.05,12,582,7,25,149,0.029551765172550575
0.05,13,582,46,0,85,0.016858389527965093
0.05,13,582,46,1,100,0.019833399444664817
0.05,13,582,46,2,104,0.020626735422451407
0.05,13,582,46,3,104,0.020626735422451407
0.05,13,582,46,5,105,0.020825069416898056
0.05,13,582,46,9,106,0.021023403411344704
0.05,13,582,46,15,106,0.021023403411344704
0.05,13,582,46,25,106,0.021023403411344704
0.05,14,582,7,0,21,0.004165013883379611
0.05,14,582,7,1,30,0.005950019833399445
0.05,14,582,7,2,30,0.005950019833399445
0.05,14,582,7,3,31,0.0061483538278460925
0.05,14,582,7,5,31,0.0061483538278460925
0.05,14,582,7,9,31,0.0061483538278460925
0.05,14,582,7,15,31,0.0061483538278460925
0.05,14,582,7,25,31,0.0061483538278460925
0.05,15,582,2,0,8,0.0015866719555731853
0.05,15,582,2,1,9,0.0017850059500198333
0.05,15,582,2,2,9,0.0017850059500198333
0.05,15,582,2,3,9,0.0017850059500198333
0.05,15,582,2,5,11,0.00218167393891313
0.05,15,582,2,9,11,0.00218167393891313
0.05,15,582,2,15,11,0.00218167393891313
0.05,15,582,2,25,11,0.00218167393891313
0.05,16,582,13,0,30,0.005950019833399445
0.05,16,582,13,1,30,0.005950019833399445
0.05,16,582,13,2,30,0.005950019833399445
0.05,16,582,13,3,30,0.005950019833399445
0.05,16,582,13,5,32,0.006346687822292741
0.05,16,582,13,9,36,0.007140023800079333
0.05,16,582,13,15,36,0.007140023800079333
0.05,16,582,13,25,36,0.007140023800079333
0.05,17,582,20,0,59,0.011701705672352241
0.05,17,582,20,1,89,0.017651725505751687
0.05,17,582,20,2,95,0.018841729472431575
0.05,17,582,20,3,102,0.02023006743355811
0.05,17,582,20,5,103,0.02042840142800476
0.05,17,582,20,9,103,0.02042840142800476
0.05,17,582,20,15,104,0.020626735422451407
0.05,17,582,20,25,104,0.020626735422451407
