id,pub_id,assigned,assigned_to,asssigned_timestamp
2802,PMC3521954,1,jackchristen,2018-02-09 10:53:42
2803,PMC4853588,1,jackchristen,2018-02-09 10:57:40
2804,PMC3832812,1,mrcyndns,2018-02-09 11:01:18
2805,PMC4763990,1,oceanwall,2018-02-09 11:04:06
2806,PMC2809260,1,courtneybroderick,2018-02-09 11:12:55
2807,PMC5377266,1,w1001766,2018-02-09 11:13:41
2808,PMC4499650,1,jackchristen,2018-02-09 11:29:34
2809,PMC4303630,1,courtneybroderick,2018-02-09 11:29:35
2810,PMC3335230,1,realrichardparker,2018-02-09 11:42:13
2811,PMC5345981,1,evelynkue,2018-02-09 13:01:14
2812,PMC3236159,1,jackchristen,2018-02-09 13:14:43
2813,PMC3355255,1,jackchristen,2018-02-09 13:29:00
2814,PMC3628464,1,mjsong1201,2018-02-09 14:52:03
2815,PMC4386318,1,mjsong1201,2018-02-09 14:53:35
2816,PMC3598424,1,jackchristen,2018-02-09 15:39:59
2817,PMC3282947,1,henryrossiter,2018-02-09 18:22:15
2818,PMC5297961,1,henryrossiter,2018-02-09 18:32:41
2819,PMC5143422,1,henryrossiter,2018-02-09 18:36:53
2820,PMC3927027,1,evelynkue,2018-02-09 22:58:48
2821,PMC4781901,1,evelynkue,2018-02-09 23:29:25
2822,PMC4723022,1,mjsong1201,2018-02-10 12:06:30
2823,PMC5064647,1,mjsong1201,2018-02-10 12:17:01
2824,PMC3469014,1,mjsong1201,2018-02-10 12:32:55
2825,PMC3283851,1,mjsong1201,2018-02-10 12:37:21
2826,PMC5210394,1,mjsong1201,2018-02-10 12:42:16
2827,PMC4750136,1,meganpearson,2018-02-10 12:44:25
2828,PMC5023903,1,meganpearson,2018-02-10 12:50:55
2829,PMC3013714,1,mjsong1201,2018-02-10 13:02:41
2830,PMC3741479,1,mjsong1201,2018-02-10 13:49:19
2831,PMC3973247,1,jackchristen,2018-02-10 14:29:53
2832,PMC3908552,1,carsonbrown19,2018-02-10 18:51:58
2833,PMC4062930,1,carsonbrown19,2018-02-10 19:01:05
2834,PMC4743729,1,carsonbrown19,2018-02-10 19:06:04
2835,PMC4453602,1,carsonbrown19,2018-02-10 19:13:11
2836,PMC3356145,1,carsonbrown19,2018-02-10 19:15:05
2837,PMC3263395,1,carsonbrown19,2018-02-10 19:17:34
2838,PMC4447034,1,evelynkue,2018-02-10 19:49:29
2839,PMC3282807,1,evelynkue,2018-02-10 20:20:00
2840,PMC2585846,1,sehreenali,2018-02-10 20:32:20
2841,PMC3418336,1,jackchristen,2018-02-11 14:04:03
2842,PMC4797302,1,jackchristen,2018-02-11 14:51:09
2843,PMC5129080,1,henryrossiter,2018-02-11 15:25:52
2844,PMC5465423,1,henryrossiter,2018-02-11 15:57:45
2845,PMC4293885,1,henryrossiter,2018-02-11 16:00:06
2846,PMC4810492,1,evelynkue,2018-02-11 21:28:00
2847,PMC4746599,1,sehreenali,2018-02-11 23:27:15
2848,PMC3408296,1,henryrossiter,2018-02-12 07:56:18
2849,PMC5019442,1,henryrossiter,2018-02-12 08:03:04
2850,PMC5221458,1,mrcyndns,2018-02-12 09:11:28
2851,PMC5076548,1,mrcyndns,2018-02-12 09:41:47
2852,PMC4848362,1,henryrossiter,2018-02-12 10:03:55
2853,PMC3544323,1,henryrossiter,2018-02-12 10:14:27
2854,PMC4117150,1,henryrossiter,2018-02-12 10:20:41
2855,PMC4800296,1,mrcyndns,2018-02-12 10:38:20
2856,PMC3304637,1,henryrossiter,2018-02-12 10:42:28
2857,PMC4602685,1,henryrossiter,2018-02-12 16:34:43
2858,PMC4992001,1,henryrossiter,2018-02-12 16:41:15
2859,PMC3287171,1,ankimnguyen,2018-02-12 18:12:49
2860,PMC4770866,1,jackchristen,2018-02-12 22:08:55
2861,PMC5051534,1,mrcyndns,2018-02-13 12:40:45
2862,PMC5068237,1,courtneybroderick,2018-02-13 16:20:42
2863,PMC4602453,1,henryrossiter,2018-02-13 20:50:24
2864,PMC3013303,1,henryrossiter,2018-02-13 21:06:04
2865,PMC5453654,1,henryrossiter,2018-02-13 21:12:56
2866,PMC5417743,1,jackchristen,2018-02-13 22:02:53
2867,PMC5147266,1,henryrossiter,2018-02-13 22:29:56
